Trans. Date,Post Date,Description,Amount,Category
6/13/2019,6/13/2019,FRYS-FOOD-DRG #129 PHOENIX AZ,10.85,Supermarkets
6/13/2019,6/13/2019,JIMMY JOHNS - 1635 PHOENIX AZ,10.4,Restaurants
6/14/2019,6/14/2019,CVS/PHARMACY #08914 PHOENIX AZ,4.38,Merchandise
6/14/2019,6/14/2019,INTERNET PAYMENT - THANK YOU,-35.02,Payments and Credits
6/15/2019,6/15/2019,0099 AMC ESPLANDE 14 PHOENIX AZ,25.68,Restaurants
6/15/2019,6/15/2019,FRYS-FOOD-DRG #129 PHOENIX AZ,36.69,Supermarkets
6/15/2019,6/15/2019,QT 435 PHOENIX AZ,26.89,Gasoline
6/15/2019,6/15/2019,STEAMGAMES.COM BELLEVUE WA,23.99,Merchandise
6/16/2019,6/16/2019,0155 FIRST WATCH PHOENIX AZ,26.03,Restaurants
6/18/2019,6/18/2019,INTERNET PAYMENT - THANK YOU,-164.91,Payments and Credits
6/20/2019,6/20/2019,SPORT CLIPS - AZ141 - PH PHOENIX AZ,25,Services
6/23/2019,6/23/2019,SCRAMBLE A BREAKFAST JOI PHOENIX AZ,41.06,Restaurants
6/26/2019,6/26/2019,INTERNET PAYMENT - THANK YOU,-66.06,Payments and Credits
7/2/2019,7/2/2019,CVS/PHARMACY #08366 PHOENIX AZ,10.64,Merchandise
7/3/2019,7/3/2019,EXXONMOBIL PHOENIX AZ,43.98,Gasoline
7/4/2019,7/4/2019,CHICK-FIL-A #03191 PHOENIX AZ,8.89,Restaurants
7/4/2019,7/4/2019,GIANT #6634 PAYSON AZ,24,Gasoline
7/4/2019,7/4/2019,SAFEWAY STORE 1536 PAYSON AZ,8.96,Supermarkets
7/5/2019,7/5/2019,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-5.04,Awards and Rebate Credits
7/8/2019,7/8/2019,HOPDODDY PHOENIX C-B PHOENIX AZ00819R,44.47,Restaurants
7/8/2019,7/8/2019,INTERNET PAYMENT - THANK YOU,-91.43,Payments and Credits
7/11/2019,7/11/2019,AIRBNB * HMAPYYBHXP 415-800-5959 CABDJ0YMSS,492.61,Travel/ Entertainment
7/11/2019,7/11/2019,INTERNET PAYMENT - THANK YOU,-44.47,Payments and Credits
7/16/2019,7/16/2019,INTERNET PAYMENT - THANK YOU,-100,Payments and Credits
7/23/2019,7/23/2019,INTERNET PAYMENT - THANK YOU,-200,Payments and Credits
7/25/2019,7/25/2019,AIRBNB * HMAPYYBHXP 415-800-5959 CAAXG8EEY4,492.6,Travel/ Entertainment
7/29/2019,7/29/2019,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-11.27,Awards and Rebate Credits
8/10/2019,8/10/2019,RESIDENCE INN ALBUQUER ALBUQUERQUE NM00938R,169.67,Travel/ Entertainment
8/15/2019,8/15/2019,INTERNET PAYMENT - THANK YOU,-843.61,Payments and Credits
8/27/2019,8/28/2019,ETT*THETRENDAT51APTRENT 801-877-5491 WAETT*THETRENDAT51APTRENT,214.14,Services
8/27/2019,8/28/2019,ETT*THETRENDAT51APTRENT 801-877-5491 WAETT*THETRENDAT51APTRENT,363.83,Services
9/5/2019,9/5/2019,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-1.7,Awards and Rebate Credits
9/5/2019,9/5/2019,INTERNET PAYMENT - THANK YOU,-576.27,Payments and Credits
10/14/2019,10/14/2019,CODE WITH MOSH 347-215-3202 NY,15,Education
11/4/2019,11/4/2019,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-5.93,Awards and Rebate Credits
11/15/2019,11/15/2019,INTERNET PAYMENT - THANK YOU,-9.07,Payments and Credits
12/22/2019,12/22/2019,FRYS-FOOD-DRG #129 PHOENIX AZ,35.65,Supermarkets
12/27/2019,12/27/2019,INTERNET PAYMENT - THANK YOU,-35.65,Payments and Credits
1/4/2020,1/4/2020,FRYS-FOOD-DRG #129 PHOENIX AZ,20.27,Supermarkets
1/28/2020,1/28/2020,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-0.56,Awards and Rebate Credits
1/28/2020,1/28/2020,INTERNET PAYMENT - THANK YOU,-19.71,Payments and Credits
2/2/2020,2/2/2020,REI #56 PARADISE VAL PHOENIX AZ0467010560241418,141.18,Merchandise
2/14/2020,2/14/2020,INTERNET PAYMENT - THANK YOU,-141.18,Payments and Credits
2/20/2020,2/20/2020,BEST BUY 00002535295 PHOENIX AZ,65.15,Merchandise
2/26/2020,2/26/2020,INTERNET PAYMENT - THANK YOU,-65.15,Payments and Credits
3/2/2020,3/2/2020,OVER THE EDGE SEDONA SENONA AZ,69.18,Merchandise
3/13/2020,3/13/2020,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-2.06,Awards and Rebate Credits
3/13/2020,3/13/2020,INTERNET PAYMENT - THANK YOU,-67.12,Payments and Credits
6/23/2020,6/23/2020,STEAMGAMES.COM BELLEVUE WA,63.02,Merchandise
6/29/2020,6/29/2020,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-1.32,Awards and Rebate Credits
6/29/2020,6/29/2020,INTERNET PAYMENT - THANK YOU,-61.7,Payments and Credits
8/7/2020,8/7/2020,AVIS RENT-A-CAR SALT LAKE CITUT,317.12,Travel/ Entertainment
8/10/2020,8/10/2020,INTERNET PAYMENT - THANK YOU,-317.12,Payments and Credits
10/6/2020,10/6/2020,LIVING SPACES E COMMERCE LA MIRADA CA,753.68,Merchandise
10/12/2020,10/12/2020,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-3.17,Awards and Rebate Credits
10/12/2020,10/12/2020,INTERNET PAYMENT - THANK YOU,-750.51,Payments and Credits
11/1/2020,11/1/2020,AUTONOMOUS INC. - NY,507.28,Merchandise
11/19/2020,11/19/2020,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-7.54,Awards and Rebate Credits
11/19/2020,11/19/2020,INTERNET PAYMENT - THANK YOU,-292.46,Payments and Credits
11/19/2020,11/19/2020,INTERNET PAYMENT - THANK YOU,-207.28,Payments and Credits
11/28/2020,11/28/2020,CVS/PHARMACY #10529 SCOTTSDALE AZ,192.98,Merchandise
12/4/2020,12/4/2020,INTERNET PAYMENT - THANK YOU,-192.98,Payments and Credits
12/12/2020,12/12/2020,EPC*EPIC GAMES STORE 919-854-0070 NCA2012122123479799,59.99,Merchandise
12/24/2020,12/24/2020,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-5.07,Awards and Rebate Credits
12/24/2020,12/24/2020,INTERNET PAYMENT - THANK YOU,-54.92,Payments and Credits
1/28/2021,1/28/2021,COSTCO ONLINE RX 800-955-2292 WA00847347359825,455.84,Merchandise
1/30/2021,1/30/2021,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-2.53,Awards and Rebate Credits
1/30/2021,1/30/2021,INTERNET PAYMENT - THANK YOU,-453.31,Payments and Credits
2/27/2019,2/28/2019,REI #56 PARADISE VAL PHOENIX AZ0828690560231649,317.46,Merchandise
2/28/2019,2/28/2019,KOHLS #0638 PHOENIX AZ,128.14,Department Stores
3/3/2019,3/5/2019,REI #56 PARADISE VAL PHOENIX AZ0887250560750266,-86.83,Payments and Credits
3/4/2019,3/4/2019,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-9.49,Awards and Rebate Credits
3/4/2019,3/4/2019,CIRCLE K 03744 PHOENIX AZ00481R,38.95,Gasoline
3/7/2019,3/7/2019,GCU STUDENT UNION PHOENIX AZ,9.75,Education
3/7/2019,3/7/2019,INTERNET PAYMENT - THANK YOU,-388.23,Payments and Credits
3/8/2019,3/8/2019,GCU STUDENT UNION PHOENIX AZ,8.85,Education
3/9/2019,3/9/2019,TST* STATE 48 BREWERY - PHOENIX AZ,12.77,Restaurants
3/10/2019,3/10/2019,CHEVRON 0352103 SCOTTSDALE AZ00352103 0384142,3.05,Gasoline
3/10/2019,3/10/2019,TST* 5 & DINER 16TH PHOENIX AZ,14.92,Restaurants
3/13/2019,3/13/2019,STAPLES 00102632105 PHOENIX AZ,16.27,Merchandise
3/15/2019,3/15/2019,CVS/PHARMACY #08366 PHOENIX AZ,9.36,Merchandise
3/16/2019,3/16/2019,IN N OUT BURGER 160 PHOENIX AZ,8.15,Restaurants
3/18/2019,3/18/2019,LUCI'SHEALTHYMARKETPLACE PHOENIX AZ,17.9,Restaurants
3/18/2019,3/18/2019,TRADER JOE'S #090 QPS PHOENIX AZ,39.58,Supermarkets
3/26/2019,3/26/2019,INTERNET PAYMENT - THANK YOU,-140.6,Payments and Credits
3/26/2019,3/28/2019,KT VAL GAS STATION PHOENIX AZ,30,Gasoline
3/26/2019,3/28/2019,TRADER JOE'S #090 QPS PHOENIX AZ,32.64,Supermarkets
3/27/2019,3/28/2019,CAMELBACK VW MAZDA SUB PHOENIX AZ727366,100.43,Automotive
3/28/2019,3/28/2019,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-6.96,Awards and Rebate Credits
4/1/2019,4/1/2019,FRYS-FOOD-DRG #129 PHOENIX AZ,18.03,Supermarkets
4/1/2019,4/1/2019,LUCI'SHEALTHYMARKETPLACE PHOENIX AZ,7.05,Restaurants
4/2/2019,4/2/2019,GCU STUDENT UNION PHOENIX AZ,9.75,Education
4/2/2019,4/2/2019,INTERNET PAYMENT - THANK YOU,-156.11,Payments and Credits
4/2/2019,4/2/2019,TST* ZOOKZ - E CAMELBACK PHOENIX AZ,14.86,Restaurants
4/6/2019,4/6/2019,CHICO MALO PHOENIX AZ,40.67,Restaurants
4/6/2019,4/6/2019,KOHLS #0638 PHOENIX AZ,124.85,Department Stores
4/7/2019,4/7/2019,CORNISH PASTY PHOENIX AZ,13.5,Restaurants
4/7/2019,4/7/2019,TRADER JOE'S #090 QPS PHOENIX AZ,55.35,Supermarkets
4/12/2019,4/12/2019,INTERNET PAYMENT - THANK YOU,-284.06,Payments and Credits
4/13/2019,4/13/2019,AIRPORT RENT A CAR OF AT COLLEGE PARK GA,710.38,Travel/ Entertainment
4/17/2019,4/17/2019,INTERNET PAYMENT - THANK YOU,-300,Payments and Credits
4/17/2019,4/17/2019,INTERNET PAYMENT - THANK YOU,-100,Payments and Credits
4/22/2019,4/22/2019,FRYS-FOOD-DRG #129 PHOENIX AZ,11.81,Supermarkets
4/22/2019,4/22/2019,JIMMY JOHNS - 1635 PHOENIX AZ,10.4,Restaurants
4/24/2019,4/24/2019,JIMMY JOHNS - 1635 PHOENIX AZ,10.51,Restaurants
4/24/2019,4/24/2019,TST* SIP COFFEE & BEER G PHOENIX AZ,10.13,Restaurants
4/25/2019,4/28/2019,CHIPOTLE 1684 PHOENIX AZ,1.52,Restaurants
4/25/2019,4/28/2019,OHSO BREWERY PHOENIX AZ,30.53,Restaurants
4/26/2019,4/26/2019,INTERNET PAYMENT - THANK YOU,-332.32,Payments and Credits
4/26/2019,4/28/2019,CIRCLE K 03744 PHOENIX AZ02658R,47.4,Gasoline
4/26/2019,4/28/2019,DUNKIN #356258 Q35 PHOENIX AZ,2.37,Restaurants
4/26/2019,4/28/2019,HELIO BASIN BREWING COMP PHOENIX AZ,24.36,Restaurants
4/26/2019,4/28/2019,THE WOMACK PHOENIX AZ,6,Restaurants
4/26/2019,4/28/2019,THE WOMACK PHOENIX AZ,7.43,Restaurants
4/27/2019,4/28/2019,PICAZZO'S ORGANIC ITAL SEDONA AZ02730R,20.93,Restaurants
4/27/2019,4/28/2019,TST* SIP COFFEE & BEER K SCOTTSDALE AZ,7.02,Restaurants
4/28/2019,4/28/2019,0155 FIRST WATCH PHOENIX AZ,17.53,Restaurants
4/28/2019,4/28/2019,LOS OLIVOS MEXICAN PAT SCOTTSDALE AZ,29.02,Restaurants
4/29/2019,4/29/2019,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-14.57,Awards and Rebate Credits
4/29/2019,4/29/2019,CVS/PHARMACY #08914 PHOENIX AZ,25.34,Merchandise
4/29/2019,4/29/2019,SHELL 10015716003 SCOTTSDALE AZ,40.01,Gasoline
4/29/2019,4/29/2019,SUBWAY 00104703255 PHOENIX AZ,4.64,Restaurants
4/29/2019,4/29/2019,WAL-MART SC - #2113 PHOENIX AZ,67.33,Supermarkets
4/30/2019,4/30/2019,CVS/PHARMACY #08914 PHOENIX AZ,9.17,Merchandise
4/30/2019,4/30/2019,EINSTEIN BROS BAGELS3090 PHOENIX AZ,9.1,Restaurants
4/30/2019,4/30/2019,NO 21 LLC PHOENIX AZ,6.43,Restaurants
5/1/2019,5/1/2019,CVS/PHARMACY #08366 PHOENIX AZ,29.43,Merchandise
5/2/2019,5/2/2019,SUBWAY 00104703255 PHOENIX AZ,13.12,Restaurants
5/3/2019,5/3/2019,DUNKIN #356258 Q35 PHOENIX AZ,2.37,Restaurants
5/3/2019,5/3/2019,SPORT CLIPS - AZ141 - PH PHOENIX AZ,25,Services
5/3/2019,5/3/2019,TARGET PHOENIX AZ,18.46,Merchandise
5/4/2019,5/4/2019,EINSTEIN BROS BAGELS3090 PHOENIX AZ,6.4,Restaurants
5/4/2019,5/4/2019,FRY'S ELECTRONICS #20 PHOENIX AZ,4.77,Merchandise
5/4/2019,5/4/2019,STARBUCKS STORE 06954 PHOENIX AZ00JOESDP4PSC659092,3.75,Restaurants
5/7/2019,5/7/2019,INTERNET PAYMENT - THANK YOU,-350,Payments and Credits
5/9/2019,5/9/2019,SCOTTSDALE BICYCLE CO SCOTTSDALE AZ,33.41,Merchandise
5/10/2019,5/10/2019,INTERNET PAYMENT - THANK YOU,-115.77,Payments and Credits
5/11/2019,5/11/2019,LOS OLIVOS MEXICAN PAT SCOTTSDALE AZ,44.25,Restaurants
5/11/2019,5/11/2019,SAFEWAY FUEL 1536 PAYSON AZ,42.37,Gasoline
5/14/2019,5/14/2019,INTERNET PAYMENT - THANK YOU,-120.03,Payments and Credits
5/15/2019,5/15/2019,BICYCLE RANCH SCOTTSDALE AZ01526R,187.99,Merchandise
5/18/2019,5/18/2019,INTERNET PAYMENT - THANK YOU,-187.99,Payments and Credits
5/25/2019,5/25/2019,CVS/PHARMACY #08366 PHOENIX AZ,26.59,Merchandise
5/25/2019,5/25/2019,GRIMALDI'S PIZZA #01101 SCOTTSDALE AZ,28.23,Restaurants
5/26/2019,5/26/2019,QT 435 PHOENIX AZ,35.56,Gasoline
5/26/2019,5/28/2019,FOUR PEAKS BREWING COMPA TEMPE AZ,40.51,Restaurants
5/27/2019,5/28/2019,CVS/PHARMACY #08366 PHOENIX AZ,15.18,Merchandise
5/27/2019,5/28/2019,FRYS-FOOD-DRG #129 PHOENIX AZ,25.05,Supermarkets
5/28/2019,5/28/2019,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-7.29,Awards and Rebate Credits
5/29/2019,5/29/2019,INTERNET PAYMENT - THANK YOU,-55,Payments and Credits
6/7/2019,6/7/2019,INTERNET PAYMENT - THANK YOU,-108.83,Payments and Credits
6/7/2019,6/7/2019,QT 435 PHOENIX AZ,33.33,Gasoline
6/10/2019,6/10/2019,FRYS-FOOD-DRG #129 PHOENIX AZ,16.61,Supermarkets
6/11/2019,6/11/2019,CVS/PHARMACY #08914 PHOENIX AZ,9.55,Merchandise
6/11/2019,6/11/2019,TARGET PHOENIX AZ,25.47,Merchandise
6/12/2019,6/12/2019,INTERNET PAYMENT - THANK YOU,-49.94,Payments and Credits
6/13/2019,6/13/2019,FRYS-FOOD-DRG #129 PHOENIX AZ,10.85,Supermarkets
6/13/2019,6/13/2019,JIMMY JOHNS - 1635 PHOENIX AZ,10.4,Restaurants
6/14/2019,6/14/2019,CVS/PHARMACY #08914 PHOENIX AZ,4.38,Merchandise
6/14/2019,6/14/2019,INTERNET PAYMENT - THANK YOU,-35.02,Payments and Credits
6/15/2019,6/15/2019,0099 AMC ESPLANDE 14 PHOENIX AZ,25.68,Restaurants
6/15/2019,6/15/2019,FRYS-FOOD-DRG #129 PHOENIX AZ,36.69,Supermarkets
6/15/2019,6/15/2019,QT 435 PHOENIX AZ,26.89,Gasoline
6/15/2019,6/15/2019,STEAMGAMES.COM BELLEVUE WA,23.99,Merchandise
6/16/2019,6/16/2019,0155 FIRST WATCH PHOENIX AZ,26.03,Restaurants
6/18/2019,6/18/2019,INTERNET PAYMENT - THANK YOU,-164.91,Payments and Credits
6/20/2019,6/20/2019,SPORT CLIPS - AZ141 - PH PHOENIX AZ,25,Services
6/23/2019,6/23/2019,SCRAMBLE A BREAKFAST JOI PHOENIX AZ,41.06,Restaurants
6/26/2019,6/26/2019,INTERNET PAYMENT - THANK YOU,-66.06,Payments and Credits
7/2/2019,7/2/2019,CVS/PHARMACY #08366 PHOENIX AZ,10.64,Merchandise
7/3/2019,7/3/2019,EXXONMOBIL PHOENIX AZ,43.98,Gasoline
7/4/2019,7/4/2019,CHICK-FIL-A #03191 PHOENIX AZ,8.89,Restaurants
7/4/2019,7/4/2019,GIANT #6634 PAYSON AZ,24,Gasoline
7/4/2019,7/4/2019,SAFEWAY STORE 1536 PAYSON AZ,8.96,Supermarkets
7/5/2019,7/5/2019,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-5.04,Awards and Rebate Credits
7/8/2019,7/8/2019,HOPDODDY PHOENIX C-B PHOENIX AZ00819R,44.47,Restaurants
7/8/2019,7/8/2019,INTERNET PAYMENT - THANK YOU,-91.43,Payments and Credits
7/11/2019,7/11/2019,AIRBNB * HMAPYYBHXP 415-800-5959 CABDJ0YMSS,492.61,Travel/ Entertainment
7/11/2019,7/11/2019,INTERNET PAYMENT - THANK YOU,-44.47,Payments and Credits
7/16/2019,7/16/2019,INTERNET PAYMENT - THANK YOU,-100,Payments and Credits
7/23/2019,7/23/2019,INTERNET PAYMENT - THANK YOU,-200,Payments and Credits
7/25/2019,7/25/2019,AIRBNB * HMAPYYBHXP 415-800-5959 CAAXG8EEY4,492.6,Travel/ Entertainment
7/29/2019,7/29/2019,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-11.27,Awards and Rebate Credits
8/10/2019,8/10/2019,RESIDENCE INN ALBUQUER ALBUQUERQUE NM00938R,169.67,Travel/ Entertainment
8/15/2019,8/15/2019,INTERNET PAYMENT - THANK YOU,-843.61,Payments and Credits
8/27/2019,8/28/2019,ETT*THETRENDAT51APTRENT 801-877-5491 WAETT*THETRENDAT51APTRENT,214.14,Services
8/27/2019,8/28/2019,ETT*THETRENDAT51APTRENT 801-877-5491 WAETT*THETRENDAT51APTRENT,363.83,Services
9/5/2019,9/5/2019,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-1.7,Awards and Rebate Credits
9/5/2019,9/5/2019,INTERNET PAYMENT - THANK YOU,-576.27,Payments and Credits
10/14/2019,10/14/2019,CODE WITH MOSH 347-215-3202 NY,15,Education
11/4/2019,11/4/2019,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-5.93,Awards and Rebate Credits
11/15/2019,11/15/2019,INTERNET PAYMENT - THANK YOU,-9.07,Payments and Credits
12/22/2019,12/22/2019,FRYS-FOOD-DRG #129 PHOENIX AZ,35.65,Supermarkets
12/27/2019,12/27/2019,INTERNET PAYMENT - THANK YOU,-35.65,Payments and Credits
1/4/2020,1/4/2020,FRYS-FOOD-DRG #129 PHOENIX AZ,20.27,Supermarkets
